Citation,Question,Answer,Category
10.1016/j.pmatsci.2007.06.001,"Which option best describes natural cellular structures, like wood, bone, and plant stems? A) mostly anisotropic B) mostly isotropic C) entirely isotropic",A,General
10.1016/j.pmatsci.2007.06.001,How does the cellular structure of wood affect its mechanics? A) wood presents anisotropic behavior B) wood presents isotropic behavior C) wood behaves the same in every loading direction,A,General
10.1016/j.pmatsci.2007.06.001,Which has higher toughness? A) hydroxyapatite B) collagen C) hydroxyapatite and collagen have the same toughness,B,General
10.1016/j.pmatsci.2007.06.001,"What is trabecular bone? A) spongy, porous part of bone B) solid, rigid part of bone C) viscous liquid part of bone",A,General
10.1016/j.pmatsci.2007.06.001,Which has higher stiffness? A) hydroxyapatite B) collagen C) hydroxyapatite and collagen have the same stiffness,A,General
10.1016/j.pmatsci.2007.06.001,What mechanical behavior do siliceous sponges exhibit? A) brittleness and high rates of fracture B) high rigidity and high density C) high flexibility and toughness,C,General
10.1016/j.pmatsci.2007.06.001,What are tendons made of? A) chitin fibrils B) collagen fibrils C) cellulose fibrils,B,General
10.1002/adma.201901561,Which is an example biological material that experiences high speed impacts? A) woodpecker beak B) nacre C) tooth,A,General
10.1002/adma.201901561,What are the crystalline phase(s) of keratin? A) alpha and beta keratin B) only alpha keratin C) only beta keratin,A,General
10.1002/adma.201901561,Where are osteons found in? A) shells B) plant stems C) bone and antlers,C,General
10.1002/adma.201901561,Where is nacre found in? A) mollusks and shells B) plant stems C) bone,A,General
10.1038/natrevmats.2016.7,What is fracture toughness? A) the maximum stress a material can withstand B) the energy equired to propagate a crack within a material B) the flexibility of a material,B,General
10.1016/j.pmatsci.2007.05.002,What is the typical mineral found in shells and crustacean exoskeletons? A) silica B) calcium carbonate C) gypsum,B,General
10.1016/j.biomaterials.2010.05.044,What do indentation methods test for? A) mechanical properties like hardness B) thermal properties C) electrical properties,A,General
10.1016/j.jmbbm.2008.02.003,What do anthropod exoskeletons mostly consist of? A) chitin and protein B) cellulose and protein C) silk and protein,A,General
10.1016/j.jmrt.2020.10.062,"What does impact loading typically mean? A) static loading B) high speed, dynamic loading C) quasi-static loading",B,General
10.1016/j.biomaterials.2010.05.044,Does nacre contain more mineral content or protein content? A) more mineral content B) more protein content C) same mineral to protein content,A,General
10.1126/science.1220854,"What are structures like plants, porcupine quills, bird beaks, and feathers known for? A) resistance to bending and buckling B) resistance to thermal effects C) resistance to strain rate sensitivity",A,General
10.1126/science.1220854,Which statement is true about typical bird beaks? A) beaks are lightweight and low density B) beaks are heavy and high density C) beaks are solid and compact,A,General
10.1016/j.biomaterials.2010.05.044,Which structure is the structure of antler most similar to? A) conch shell B) nacre C) bone,C,General
n/a,Which is an example of a cellular biological material? A) Cork B) Sheet metal C) Stainless steel ingot,A,Non-Bio
n/a,Which is an example of an impact-resistant biological material? A) titanium B) horse hoof wall C) polycarbonate ,B,Non-Bio
n/a,Which is a very notable biological material? A)  spider silk B) brass C) carbon fiber,A,Non-Bio
n/a,Which is an example of a biological material with high fracture toughness? A) bone B) alumina C) polyurethane,A,Non-Bio
n/a,Which is considered a biological ceramic? A) sea shells B) porcelain C) stoneware,A,Non-Bio
n/a,Which is considered a biological fiber? A) silk B) nylon C) kevlar,A,Non-Bio
n/a,Which material has a helical structure? A) grasshopper exoskeleton B) cast iron C) concrete,A,Non-Bio
n/a,What is structure is present in crab exoskeleton? A) tubules B) carbon fiber reinforcement C) concrete laminates,A,Non-Bio
n/a,Which is an example of a biological cellular structure? A) polystyrene foam B) horseshoe crab shell C) polyurethane foam,B,Non-Bio
n/a,Which is an example of a tough biological material? A) nylon B) teflon C) deer antlers,C,Non-Bio
10.1016/j.actbio.2022.08.028,What is the tubule density in equine hoof wall? A) 16 tubules/mm^2 B) 1 tubule/mm^2 C) 46 tubules/mm^2,A,Numerical
10.1016/j.msec.2015.10.033,What is the elastic modulus of conch shell? A) 3 GPa B) 30 GPa C) 3 MPa,B,Numerical
10.1016/j.msec.2015.10.033,What is the ultimate tensile strength of abalone shell? A) 140 MPa B) 1.4 GPa C) 14 MPa,A,Numerical
10.1016/j.msec.2015.10.033,What is the elastic modulus of mantis shrimp dactyl club? A) 10 GPa B) 50 MPa C) 75 GPa,C,Numerical
10.1016/j.pmatsci.2015.06.001,"On average, how large in major axis diameter are the tubules found in horse hoof wall? A) 100 micrometers B) 2 nanometers C) 2 millimeters",A,Numerical
10.1016/j.pmatsci.2007.05.002,What is the tensile strength of spider silk? A) 120 MPa B) 2 MPa C) 1.2 GPa,C,Numerical
10.1016/j.msec.2015.10.033,What is the ultimate tensile strength of hagfish slime?  A) 10 GPa B) 180 MPa C) 25 MPa,B,Numerical
10.1016/j.msec.2015.10.033,Which range of ultimate compressive strength is correct for sea urchin spines? A) 10-30 GPa B) 42-49 MPa C) 1-9 Mpa,B,Numerical
10.1126/science.1220854,"In abalone shell structure, there is aragonite tiling and layering. Approximately what is the height of these layers? A) 0.5 micrometers  B) 5 nanometers C) 5 micrometers",A,Numerical
10.1016/j.pmatsci.2007.05.002,What is roughly the elastic modulus of collagen? A) 50 MPa B) 1.5 GPa C) 1 MPa,B,Numerical
10.1016/j.actbio.2017.09.043,What feature is present at the nanoscale of bighorn sheep horn? A) keratin intermediate filaments and amorphous matrix B) collagen fibrils and nanoplatelets C) chitin fibrils/HAP nanoparticles,A,Specific
10.1016/j.actbio.2022.08.028,What is the gradient found in horse hoof wall? A) Gradient in tubule shape B) Gradient in tubule size C) Gradient in both tubule shape and size,C,Specific
10.1016/j.jmrt.2020.10.062,What happens to coconut shells as they age?  A) they become more anisotropic B) they become more isotropic C) they stay the same,A,Specific
10.1016/j.msec.2015.10.033,What compound provides strength in diatom frustules? A) silica B) calcite C) aragonite,A,Specific
10.1016/j.msec.2015.10.033,"In the american lobster shell, which has higher stiffness? A) exocuticle of american lobster shell B) endocuticle of american lobster shell C) exocuticle and endocuticle have the same stiffness",A,Specific
10.1016/j.msec.2015.10.033,Is there higher mineral or higher polymer content found in sea sponge? A) Higher mineral content B) Higher polymer content C) Same amount mineral and polymer ,A,Specific
10.1016/j.msec.2015.10.033,What is mantis shrimp dactyl club is composed of? A) Keratin  B) Chitin C) Collagen,B,Specific
10.1016/j.pmatsci.2007.05.002,What structure is NOT found in the hierarchy of American lobster shell? A) Chitin fibers B) Layers C) Keratin fibers ,C,Specific
10.1016/j.pmatsci.2007.05.002,"In abalone shell, in which loading direction is compressive strength the highest? A) Perpendicular to the shell surface B) Parallel to the shell surface C) Neither, compressive strength is the same for both perpendicular and parallel",A,Specific
10.1016/j.pmatsci.2007.05.002,Which statement is true about toucan beaks? A) Toucan beaks are fully hollow B) Toucan beaks are fully foam C) Toucan beaks are both hollow and foam ,C,Specific
10.1016/j.pmatsci.2015.06.001,What happens when whale baleen is hydrated? A) Becomes more flexible B) Becomes less flexible C) Stays the same ,A,Specific
10.1098/rsif.2018.0093,Which horn has the greatest resistance to high impacts? A) bighorn sheep B) mountain goat C) pronghorn  ,A,Specific
10.1098/rsif.2018.0093,Which horn does not have tubules? A) Domestic sheep horn B) Pronghorn horn C) Mountain goat horn,C,Specific
10.1039/C2RA21276E ,What is beetle elytra is made of? A) chitin B) keratin C) collagen,A,Specific
10.1016/j.msec.2015.10.033,Which structure is present in mantis shrimp dactyl club? A) Tubular structure B) Truss structure C) Bouligand structure,C,Specific
10.1016/j.pmatsci.2007.05.002,Which structure is found in abalone shell? A) layered structure B) truss structure C) column structure,A,Specific
10.1098/rsif.2018.0093,"When impacting horns of species like pronghorn, domestic sheep, mountain goat, and bighorn sheep, which loading direction exhibits the highest toughness? A) radial (perpendicular to the tubules) B) longitudinal (parallel to the tubules) C) transverse",A,Specific
10.1016/j.pmatsci.2007.05.002,"At the molecular level in bone, what does Type I collagen tend to form? A) triple helix segments B) flat sheets C) double helix segments",A,Specific
10.1016/j.pmatsci.2007.05.002,Which mechanical property of silk contributes to its exceptional strength? A) High compressive strength B) High tensile strength C) Small aspect ratio,B,Specific
10.1016/j.pmatsci.2007.05.002,What is the difference between trabecular and compact bone? A) trabecular bone is lower in density B) trabecular bone is higher in density C) trabecular bone and compact bone have the same density ,A,Specific
10.1016/j.pmatsci.2007.05.002,Which statement is true about glass sponge? A) Glass sponge's silica basket is rigid and its spicules are flexible B) Glass sponge's silica basket is flexible and its spicules are rigid C) Glass sponge's basket and spicules are both flexible ,A,Specific
10.1016/j.msec.2015.10.033,"What structure is found in seahorse tail skeleton on the macroscale? A) bouligand structure B) overlapping, interlocking bony segments C) dense muscle with no skeletal support",B,Specific
10.1016/j.msec.2015.10.033,Where along sea urchin spines have they been shown to preferentially fail? A) at the base of the spine B) at the tip of the spine C) in the middle of the spine,A,Specific
10.1016/j.msec.2015.10.033,"What does the brick-and-mortar structure of nacre provide in terms of crack deflection? A) a smooth, continuously curved crack path B) a highly tortuous crack path with 90 degree bends C) straight line crack path ",B,Specific
10.1007/s11837-012-0302-8,What are hagfish teeth composed of? A) Chitin B) Keratin C) Collagen,B,Specific
10.1007/s11837-012-0302-8,Which is the correct description of porcupine quill structure? A) stiff outer sheath and a stiff core B) compliant porous outer sheath and a stiff core C) stiff outer sheath and a compliant porous foam core ,C,Specific
10.1007/s11837-012-0302-8,What is the primary shaft of bird feathers called? A) barbs B) barbules c) rachis,C,Specific
10.1016/j.msec.2015.10.033,Which region of teeth has higher hardness? A) dentin B) enamel C) pulp,B,Specific
10.1016/j.pmatsci.2017.04.013,What is the mineralization gradient found in fish scales? A) Lower mineralization degree towards the surface B) Higher mineralization degree towards the surface C) There is no gradient in mineralization,B,Specific
10.1016/j.pmatsci.2017.04.013,What is the layer thickness gradient found in lobster or crab exoskeleton? A) Increasing layer thickness from exocuticle to endocuticle B) Decreasing layer thickness from exocuticle to endocuticle C) There is no gradient in layer thickness,A,Specific
10.1016/j.msec.2015.10.033,What shape are the tubules found in elephant tusks? A) elliptical or oval B) triangular C) square,A,Specific
10.1016/j.msec.2015.10.033,What are mussel byssal threads composed of? A) chitin fibrils B) keratin fibrils C) collagen fibrils,C,Specific
10.1016/j.pmatsci.2007.05.002,What are sea sponge spicules considered as? A) biological ceramics B) biological elastomers C) synthetic,A,Specific
10.1016/j.pmatsci.2007.05.002,What are the primary components found in skin? A) Hydroxyapatite and collagen B) Hydrochloric acid and collagen C) Elastin and collagen,C,Specific
10.1016/j.pmatsci.2007.05.002,What best describes the mechanical behavior of human red blood cells? A) elastic and deformable B) plastic and permanently deformable C) hard and rigid ,A,Specific
10.1016/j.pmatsci.2007.05.002,"How do higher humidity conditions affect the stiffness of bird feathers? A) higher humidity, lowers stiffness B) higher humidity, increases stiffness C) higher humidity causes no change",A,Specific
10.1016/j.pmatsci.2007.05.002,Which region of the stonecrab's claw is harder and tougher? A) Black region (tips of the claw) B) Yellow region C) Both black and yellow regions had the same hardness,A,Specific
10.1016/j.pmatsci.2007.05.002,"Are there tubules found in the microstructure of rhinoceros horn? A) Yes, there are tubules present B) No, there are no tubules present C) Research has never been done on rhinoceros horn",A,Specific
10.1016/j.pmatsci.2007.05.002,What do sap channels in tree wood provide mechanically? A) Sap channels have no mechanical purpose B) Sap channels can arrest or deflect crack propagation C) Sap channels increase crack propagation leading to sooner failure,B,Specific
10.1016/j.pmatsci.2007.05.002,Which best describes the mineral content found in chiton teeth? A) Notably high mineral content B) Notably low mineral content C) No mineral content,A,Specific
